CARD_NUMBER,Date Diff,Time, Amount ,"ATM=1, POS=0",ADDRESS_NAME
1022,0,9,10000,1,119
1023,0,11,10000,1,118
1024,21,17,10000,1,116
1024,2,18,10000,1,116
1024,0,11,10000,1,117
1025,1,16,855,0,6
1025,0,10,10000,1,113
1025,4,16,435,0,114
1025,0,15,799,0,114
1025,0,11,699,0,115
1026,0,14,10000,1,112
1027,0,19,10000,1,18
1028,0,13,2500,1,111
1029,1,12,10200,1,109
1029,13,16,10000,0,110
1029,0,15,5241,1,4
1030,1,13,10000,1,105
1030,1,11,10000,1,105
1030,5,10,10000,1,105
1030,5,17,10000,1,105
1030,5,14,10000,1,105
1030,2,11,10000,1,106
1030,1,10,10000,1,107
1030,0,11,10000,1,108
1031,1,19,10000,1,102
1031,1,21,10000,1,103
1031,1,20,10000,1,104
1031,1,19,10000,1,103
1031,7,19,10000,1,103
1031,3,15,10000,1,103
1031,0,19,10000,1,103
1032,1,18,6000,1,99
1032,3,18,10000,1,100
1032,0,17,10000,1,101
1033,3,8,10000,1,97
1033,4,10,10000,1,97
1033,1,15,10000,1,98
1033,0,14,10000,1,98
1034,1,10,10000,1,17
1034,0,14,10000,1,17
1035,1,19,10000,1,11
1035,13,18,10000,1,17
1035,12,15,10000,1,17
1035,1,15,10000,1,17
1035,0,14,10000,1,31
1036,2,11,10000,1,31
1036,1,11,10000,1,31
1036,0,12,10000,1,31
1037,8,16,10200,0,93
1037,1,10,10200,1,4
1037,1,18,10200,0,94
1037,1,17,10200,0,6
1037,2,14,10200,0,95
1037,4,14,10250,0,93
1037,0,10,2215,1,4
1037,0,8,1355,1,4
1037,1,13,2043,0,9
1037,0,13,5060,0,95
1037,1,10,999,1,55
1037,1,10,539,0,96
1037,1,18,3515,1,4
1037,3,18,4010,1,4
1037,2,15,10250,1,55
1037,1,18,10200,1,4
1037,0,18,10200,1,4
1038,0,11,510,0,92
1039,0,13,10000,1,91
1040,1,21,10000,0,87
1040,1,8,10000,1,88
1040,1,8,10000,1,88
1040,1,15,10000,1,88
1040,1,16,10000,1,88
1040,0,15,1023,1,88
1040,1,21,10000,1,88
1040,0,19,2000,1,89
1040,0,19,200,0,90
1041,0,15,500,1,40
1042,10,18,10000,1,86
1042,0,17,5000,1,86
1043,0,20,1652,0,85
1044,0,13,2598,0,9
1044,0,13,2295,0,9
1044,0,13,2999,0,9
1045,1,20,10000,1,83
1045,0,16,2500,1,84
1046,1,6,10000,1,11
1046,1,6,10000,1,11
1046,1,7,10000,1,11
1046,0,7,10000,1,11
1047,0,10,10000,1,82
1048,0,14,10000,1,28
1049,0,17,10000,1,19
1050,0,11,10000,1,81
1051,1,15,10000,1,19
1051,6,15,10000,1,19
1051,1,15,10000,1,19
1051,0,15,10000,1,19
1052,0,19,12700,0,80
1053,0,16,10000,1,31
1054,5,14,10000,1,78
1054,0,13,8500,1,79
1055,0,15,10000,1,67
1056,1,14,10250,1,76
1056,1,18,10000,1,76
1056,1,21,10000,1,77
1056,0,23,10000,1,55
1057,1,15,10000,1,19
1057,6,15,10000,1,19
1057,1,15,10000,1,19
1057,0,15,10000,1,19
1058,0,17,10000,1,75
1059,0,10,10000,1,74
1060,0,18,30000,0,73
1061,0,18,8000,1,72
1062,2,15,10000,1,70
1062,0,16,10000,1,71
1063,1,8,10000,1,55
1063,2,9,10250,1,55
1063,6,9,10250,1,68
1063,4,11,10250,1,55
1063,1,10,10250,1,55
1063,4,18,50000,1,55
1063,0,15,10250,0,69
1064,1,13,10000,1,64
1064,2,10,10000,1,18
1064,1,11,10000,1,18
1064,1,16,10000,1,65
1064,19,11,10000,1,18
1064,1,13,10000,1,18
1064,1,18,10000,1,18
1064,1,15,10000,1,64
1064,1,16,10000,1,66
1064,0,15,10000,1,67
1065,0,14,10000,1,17
1066,0,16,3586,0,58
1066,1,17,5067,0,59
1066,1,12,10000,0,58
1066,0,19,330,1,11
1066,0,12,10000,1,11
1066,4,19,777,1,60
1066,2,9,1000,0,61
1066,0,14,10000,0,62
1066,0,17,750,1,63
1067,1,11,10000,1,57
1067,0,9,10000,1,57
1068,0,16,10200,1,4
1069,4,10,500,1,55
1069,6,12,10250,1,11
1069,0,15,2000,1,56
1070,6,9,10000,1,18
1070,2,6,10000,1,18
1070,3,5,10000,1,18
1070,0,6,10000,1,18
1071,1,20,10000,1,11
1071,1,10,10000,1,53
1071,0,9,10000,1,54
1072,0,21,1000,1,52
1073,4,15,10000,1,50
1073,6,6,10000,1,11
1073,6,18,10000,1,11
1073,1,16,10000,1,31
1073,3,11,10000,1,11
1073,0,17,5236,1,11
1073,5,18,10000,1,51
1073,1,10,10000,1,11
1073,1,9,10000,1,32
1073,0,18,10000,1,32
1074,0,13,7750,1,55
1075,4,16,10000,1,48
1075,1,16,10000,1,48
1075,1,14,10000,1,48
1075,1,15,10000,1,48
1075,1,18,10000,1,48
1075,1,16,10000,1,48
1075,1,14,10000,0,49
1075,1,11,10000,0,49
1075,0,11,50000,0,49
1075,1,12,50000,1,48
1075,5,11,252104,0,49
1075,0,18,800,1,48
1076,0,9,6000,1,47
1077,0,10,4500,1,46
1077,15,10,500,1,46
1077,0,7,500,1,46
1078,0,17,1000,1,32
1079,1,11,10000,1,44
1079,0,17,10000,1,45
1080,0,16,5000,1,43
1080,0,16,5000,1,43
1081,19,19,5000,1,41
1081,0,17,10000,1,42
1082,0,14,10000,1,40
1083,0,13,9000,1,39
1084,24,14,4200,1,4
1084,1,12,10000,1,37
1084,0,12,1500,1,37
1084,0,19,2000,1,38
1085,0,16,3390,0,35
1085,0,16,1401,0,36
1086,7,16,10000,1,33
1086,1,16,10000,1,34
1086,0,15,10000,1,34
1087,26,9,10000,1,11
1087,1,10,10000,1,17
1087,1,13,10000,1,31
1087,1,7,10000,1,11
1087,0,8,10000,1,32
1088,1,20,10000,1,11
1088,1,20,10000,1,11
1088,2,21,10000,1,11
1088,0,21,10000,1,30
1089,1,20,10000,1,11
1089,1,20,10000,1,11
1089,2,21,10000,1,11
1089,0,21,10000,1,29
1090,3,18,10000,1,28
1090,19,13,10000,1,28
1090,0,16,10000,1,28
1091,4,10,7155,0,26
1091,0,19,10000,0,27
1092,0,12,10000,1,25
1093,4,8,10000,1,21
1093,1,15,10000,1,22
1093,1,19,10000,1,23
1093,0,20,10000,1,24
1094,1,16,10000,1,19
1094,2,16,10000,1,19
1094,4,17,10000,1,19
1094,1,18,10000,1,19
1094,9,18,10000,1,20
1094,0,14,10000,1,375
1095,1,13,10000,1,18
1095,0,10,6000,1,160
1095,1,13,10000,1,160
1095,1,9,10000,1,160
1095,4,12,10000,1,11
1095,2,12,10000,1,56
1095,1,10,10000,1,11
1095,2,15,10000,1,11
1095,0,12,10000,1,11
1096,27,15,7000,1,17
1096,0,19,10000,1,374
1097,0,20,673,0,14
1097,0,17,7658,0,15
1097,4,15,10000,1,16
1097,20,18,4550,1,55
1097,0,18,1000,1,373
1098,2,15,5000,1,13
1098,6,18,10000,1,13
1098,5,19,10000,1,89
1098,0,17,7500,1,372
1099,0,15,17115,0,5
1099,1,15,10000,0,6
1099,0,19,13241,0,7
1099,0,17,21000,0,8
1099,0,17,21420,0,9
1099,14,17,10000,0,9
1099,6,15,10000,0,10
1099,0,14,5796,1,11
1099,1,21,9406,1,12
1099,0,14,1000,1,371
1100,19,12,10200,1,4
1100,2,18,10200,1,4
1100,0,13,7700,1,4
1101,0,17,10236,1,137
1101,0,20,25200,0,370
1102,1,14,2050,1,3
1102,1,8,32410,0,26
1102,1,20,8540,0,369
1102,11,8,1646,0,26
1102,0,14,9000,0,26
1103,5,7,10200,1,1
1103,1,17,10000,1,2
1103,0,14,10000,1,4
1104,0,11,10000,1,368
1104,0,11,5000,1,368
1105,0,18,5000,1,367
1106,1,6,10000,1,1
1106,0,18,10000,1,2
1107,1,6,10000,1,1
1107,0,18,10000,1,2
1108,1,6,10000,1,1
1108,0,18,10000,1,2
1109,1,8,10000,1,1
1109,0,20,10000,1,1
1110,0,16,2972,0,366
1111,0,12,8000,1,11
1112,2,10,3804,1,17
1112,12,12,11700,1,17
1112,1,10,10000,0,364
1112,0,18,10000,0,365
1113,1,10,10000,1,362
1113,1,8,10000,1,11
1113,0,20,10000,1,363
1114,0,13,2500,1,361
1114,14,13,10000,1,361
1114,0,18,10250,1,55
1115,0,15,10000,1,4
1115,0,13,50000,1,4
1115,0,9,21083,1,55
1115,2,20,15372,1,55
1115,1,20,10250,1,359
1115,0,20,10200,0,360
1115,2,20,10250,0,360
1115,1,20,10200,0,360
1115,0,15,10000,1,32
1116,0,13,10000,1,17
1117,0,18,2099,0,166
1117,0,17,804,0,164
1117,0,18,2195,0,343
1117,0,19,1576,0,158
1117,0,19,3495,0,358
1118,2,15,10000,1,356
1118,5,19,10000,1,356
1118,4,11,10000,1,11
1118,0,12,5000,1,357
1118,0,12,10000,1,357
1119,6,10,1000,1,355
1119,3,14,10200,1,13
1119,0,15,10000,1,13
1120,0,13,10000,1,46
1121,1,19,10000,1,11
1121,0,19,10000,1,147
1122,0,18,10000,1,11
1123,1,7,10000,1,1
1123,0,18,10000,1,2
1124,1,12,10000,1,11
1124,2,17,10000,1,11
1124,1,19,10000,1,352
1124,2,8,10000,1,353
1124,14,9,10000,1,11
1124,2,16,10000,1,11
1124,2,20,10000,1,11
1124,0,11,10000,1,354
1125,0,9,10000,1,52
1126,0,13,5000,1,222
1126,0,13,10000,1,222
1127,1,19,100,0,158
1127,0,17,150,0,158
1128,5,17,150,1,11
1128,0,17,500,0,158
1129,0,6,5200,0,351
1130,1,6,10000,1,1
1130,0,18,10000,1,1
1131,1,11,5250,1,55
1131,0,17,5250,1,55
1132,4,14,10000,1,64
1132,1,11,10000,1,348
1132,4,10,10000,1,349
1132,3,12,10000,1,349
1132,11,17,10000,1,181
1132,2,9,10000,1,181
1132,0,15,10000,1,350
1133,0,13,10000,1,47
1134,8,14,1000,1,344
1134,6,18,3500,1,345
1134,0,17,500,1,345
1134,1,17,10000,1,346
1134,1,17,10000,1,347
1134,0,12,10000,1,347
1135,0,19,1607,0,343
1136,1,7,10000,1,342
1136,1,7,10000,1,342
1136,1,17,10000,1,342
1136,0,15,10200,1,4
1137,0,17,10000,1,47
1138,6,9,10000,1,18
1138,2,6,10000,1,18
1138,3,5,10000,1,18
1138,0,6,10000,1,18
1139,3,17,10000,1,341
1139,0,18,8000,1,341
1140,17,9,10000,1,11
1140,1,8,10000,1,11
1140,1,10,10000,1,31
1140,1,10,10000,1,51
1140,1,10,10000,1,51
1140,0,12,10000,1,32
1141,0,17,8000,1,340
1142,3,15,4744,0,36
1142,0,14,1419,0,335
1142,0,18,3083,0,336
1142,1,14,1347,0,337
1142,16,16,2671,0,338
1142,0,14,8739,1,339
1142,0,18,1290,1,55
1142,3,12,10250,1,55
1142,1,9,10250,0,193
1142,0,14,10000,0,6
1143,0,14,10000,1,31
1144,0,16,3943,0,334
1145,0,17,8399,0,127
1145,0,18,5265,0,127
1145,0,16,9495,0,332
1145,2,18,799,0,127
1145,0,19,3700,0,127
1146,0,13,10000,1,333
1147,0,13,7616,0,36
1147,0,12,2000,0,332
1148,5,13,10000,1,11
1148,1,19,10000,1,11
1148,5,9,10000,1,32
1148,1,17,10000,1,32
1148,0,9,10000,1,32
1149,3,20,3884,0,6
1149,1,7,2325,0,322
1149,0,15,631,0,331
1150,0,12,10000,1,330
1151,1,21,10000,1,328
1151,0,18,3000,1,329
1151,1,18,7000,1,11
1151,3,10,10000,1,11
1151,0,10,5000,1,11
1152,0,18,5000,1,327
1153,0,18,10000,0,326
1154,12,13,5000,1,55
1154,0,12,10250,1,325
1155,0,21,970,0,321
1155,1,7,1720,0,322
1155,1,5,26338,0,323
1155,1,17,2940,0,9
1155,0,16,9539,0,6
1155,0,12,2450,0,324
1155,1,17,2910,0,9
1155,0,12,21240,0,324
1156,5,17,3000,1,314
1156,7,15,5000,1,315
1156,4,19,3500,1,314
1156,3,19,5500,1,316
1156,2,20,6736,1,317
1156,1,21,10000,1,318
1156,1,19,2500,1,319
1156,0,15,6000,1,320
1157,1,16,6200,1,4
1157,3,19,2000,1,4
1157,0,20,1200,1,313
1158,0,14,5000,1,312
1159,0,13,10000,1,11
1160,0,15,5000,1,311
1161,0,21,10000,1,310
1162,3,19,10000,1,309
1162,0,20,10000,1,309
1163,0,11,10000,1,308
1164,11,9,10000,1,306
1164,1,19,10000,1,307
1164,1,14,10000,1,307
1164,6,16,10000,1,306
1164,0,17,10000,1,307
1165,8,13,3335,1,305
1165,0,16,3000,1,201
1166,0,20,500,1,304
1167,1,9,10250,1,303
1167,0,12,10000,1,55
1168,0,14,1499,0,301
1168,0,12,999,0,302
1168,0,13,1299,0,158
1169,1,12,10250,1,55
1169,0,11,13396,0,300
1170,3,17,5200,1,298
1170,0,20,6000,1,299
1171,0,19,2000,1,297
1172,1,13,10000,1,294
1172,3,14,10000,1,295
1172,22,19,10000,1,295
1172,0,17,10000,1,296
1173,0,16,5000,1,18
1173,2,16,10000,1,18
1173,0,16,5000,1,18
1173,0,15,10000,1,37
1174,0,18,1100,0,293
1175,1,17,10000,0,26
1175,1,16,10000,1,291
1175,1,16,10000,0,292
1175,2,17,10000,1,11
1175,0,15,447,1,11
1176,3,14,10000,1,39
1176,4,13,10000,1,39
1176,2,14,10000,1,39
1176,4,17,10000,1,39
1176,0,14,10000,1,39
1177,0,13,10000,1,11
1178,0,18,1500,1,290
1178,4,18,500,1,290
1178,0,18,3000,1,290
1179,0,12,10236,1,137
1180,19,20,10250,1,55
1180,0,14,5200,1,4
1181,0,11,7500,1,222
1181,0,11,7500,1,222
1182,0,9,10000,1,289
1183,0,11,5000,1,288
1183,0,10,10000,1,288
1184,0,16,1999,0,286
1184,0,16,1999,0,286
1184,1,15,2318,0,6
1184,0,17,1090,0,9
1184,0,13,4285,0,287
1185,10,11,10000,1,11
1185,1,19,10000,1,11
1185,3,11,10000,1,11
1185,1,10,10000,1,11
1185,1,19,10200,1,11
1185,1,10,10000,1,259
1185,0,14,10000,1,4
1186,14,11,10000,1,11
1186,1,19,10000,1,11
1186,1,11,10200,1,11
1186,1,10,10000,1,259
1186,0,14,10000,1,4
1187,0,16,1199,0,285
1187,0,16,1498,0,228
1187,0,16,1598,0,127
1188,0,17,5000,1,11
1189,2,20,2000,1,281
1189,3,22,2000,1,282
1189,1,12,10000,1,282
1189,1,8,10000,1,281
1189,1,11,10000,1,283
1189,1,19,10000,1,281
1189,0,17,10000,1,284
1190,1,7,10000,1,269
1190,0,16,10000,1,11
1191,0,11,10000,1,280
1192,1,16,10236,1,50
1192,0,9,10000,1,11
1193,0,14,10000,1,11
1194,6,11,10000,1,279
1194,0,12,10000,1,279
1195,1,19,10000,1,11
1195,0,18,10000,1,17
1196,5,20,10200,1,4
1196,0,10,10200,1,4
1197,0,14,10000,1,278
1198,5,18,5236,0,167
1198,1,10,1500,0,193
1198,14,16,1363,0,272
1198,0,16,6498,1,50
1198,0,15,17900,1,273
1198,1,13,3797,0,274
1198,1,9,10000,1,273
1198,0,9,5000,1,273
1198,1,10,10000,1,275
1198,0,19,17350,0,276
1198,0,15,5000,1,277
1198,4,13,10000,1,32
1198,0,12,10000,1,32
1199,2,23,10000,1,271
1199,0,19,10000,1,221
1200,1,10,10236,1,50
1200,0,14,14639,0,270
1201,0,16,5000,1,269
1201,0,16,10000,1,269
1202,0,13,10000,1,268
1203,0,17,5000,1,267
1204,8,17,1350,0,110
1204,5,16,269,0,110
1204,0,16,349,0,266
1205,5,14,10000,1,28
1205,8,18,10000,1,28
1205,0,9,10000,1,28
1206,0,10,10000,1,265
1207,0,10,10000,1,265
1208,7,14,1000,1,32
1208,0,17,5000,1,32
1209,4,13,10000,1,262
1209,1,13,10000,1,263
1209,1,10,10000,1,263
1209,5,15,9000,1,264
1209,1,8,10000,1,263
1209,1,13,10000,1,264
1209,3,7,10000,1,264
1209,0,15,10000,1,264
1210,12,22,10000,1,11
1210,8,10,3000,1,260
1210,3,11,5000,1,260
1210,0,19,1000,1,261
1211,14,11,10000,1,11
1211,1,19,10000,1,11
1211,1,11,10200,1,11
1211,1,10,10000,1,259
1211,0,14,10000,1,4
1212,1,14,10000,1,233
1212,1,11,10000,1,31
1212,1,18,10000,1,11
1212,2,9,10000,1,31
1212,3,18,9500,1,11
1212,1,18,10000,1,17
1212,1,8,10000,1,32
1212,1,18,10000,1,32
1212,0,10,10000,1,32
1213,3,10,1800,1,257
1213,0,13,3500,1,258
1214,0,14,5605,0,127
1214,0,14,2100,0,256
1214,0,14,13593,0,127
1215,2,13,10000,1,47
1215,2,11,10000,1,47
1215,3,12,1000,1,47
1215,0,10,10000,1,47
1216,0,21,10000,1,255
1217,1,19,10000,1,11
1217,0,19,10000,1,147
1218,0,11,10000,1,254
1219,0,8,10000,1,253
1220,1,14,10000,1,11
1220,1,11,10000,1,11
1220,0,18,10000,1,251
1220,1,22,797,0,6
1220,1,20,3549,0,252
1220,0,20,999,0,200
1221,1,24,10000,1,160
1221,1,13,10000,1,160
1221,1,9,10000,1,160
1221,4,12,10000,1,11
1221,2,12,10000,1,56
1221,1,10,10000,1,11
1221,2,15,10000,1,11
1221,0,12,10000,1,11
1222,2,16,10000,1,107
1222,0,14,10000,1,19
1223,0,16,5000,1,11
1223,0,16,10000,1,11
1224,8,19,775,0,250
1224,0,18,577,0,158
1225,1,18,347,0,247
1225,3,11,1010,1,248
1225,0,10,10000,0,249
1226,0,15,6200,1,4
1227,8,13,10000,1,106
1227,0,16,10000,1,32
1228,3,16,10000,1,31
1228,0,14,10000,1,31
1229,3,20,800,0,244
1229,2,14,1390,0,245
1229,0,12,4297,0,246
1229,0,19,4506,0,9
1230,0,22,10000,1,243
1231,0,19,10000,1,242
1232,17,16,1000,1,241
1232,0,13,10000,1,28
1233,1,17,10000,1,239
1233,0,11,10000,1,240
1234,4,13,10000,1,11
1234,1,19,10000,1,11
1234,1,14,10000,1,11
1234,5,9,10000,1,32
1234,1,17,10000,1,32
1234,0,16,10000,1,54
1235,1,10,10000,1,238
1235,0,15,10000,1,238
1236,2,18,10000,1,236
1236,4,17,10000,1,11
1236,6,18,1250,1,237
1236,0,14,5000,1,55
1237,0,14,10000,1,47
1238,8,13,9500,1,235
1238,0,20,10000,1,235
1239,7,14,10000,1,234
1239,0,10,10000,1,11
1240,1,17,10000,1,233
1240,19,9,10000,1,11
1240,1,10,10000,1,17
1240,1,10,10000,1,31
1240,1,10,10000,1,31
1240,1,19,10000,1,17
1240,0,9,10000,1,11
1241,0,16,10030,0,232
1242,1,15,10000,0,227
1242,2,14,10000,0,228
1242,0,10,2350,1,229
1242,1,23,2647,1,230
1242,0,19,1328,0,231
1243,8,14,10000,1,28
1243,0,18,10000,1,28
1244,1,19,10000,1,11
1244,8,19,10000,1,11
1244,12,18,10000,1,226
1244,1,11,10000,1,11
1244,0,14,10000,1,11
1245,6,16,10000,1,39
1245,0,18,8000,1,225
1246,3,17,10000,1,223
1246,0,21,10000,1,224
1247,0,16,10000,1,222
1248,0,16,10000,1,222
1249,1,17,10000,1,51
1249,8,9,10000,1,11
1249,1,15,10000,1,11
1249,3,11,10000,1,11
1249,1,7,10000,1,11
1249,0,15,10000,1,11
1250,0,13,10000,1,11
1251,0,6,10000,1,11
1252,0,14,10000,1,17
1253,1,15,10000,1,31
1253,1,12,10000,1,17
1253,23,11,10000,1,11
1253,1,6,10000,1,11
1253,0,7,10000,1,32
1254,1,15,10000,1,31
1254,1,12,10000,1,17
1254,23,11,10000,1,11
1254,1,7,10000,1,11
1254,0,7,10000,1,32
1255,26,16,10000,1,11
1255,1,17,10000,1,53
1255,2,10,10000,1,53
1255,0,10,10000,1,32
1256,1,11,10000,1,11
1256,2,13,10000,1,11
1256,0,18,10000,1,221
1257,1,9,10000,1,32
1257,0,19,10000,1,32
1258,0,19,500,1,11
1259,1,16,10000,1,218
1259,1,16,10000,1,219
1259,0,21,10000,1,220
1260,0,19,10000,1,32
1261,0,16,10000,1,11
1261,1,17,10000,1,53
1261,25,10,10000,1,53
1261,1,10,10000,1,28
1261,2,17,10000,1,28
1261,0,10,10000,1,32
1262,1,19,10000,1,11
1262,0,19,10000,1,147
1263,1,12,10000,1,216
1263,1,10,10000,1,216
1263,3,6,10000,1,216
1263,1,17,10000,1,217
1263,3,17,10000,1,216
1263,0,12,10000,1,217
1264,0,13,2000,1,32
1265,1,9,10000,1,160
1265,1,13,10000,1,160
1265,1,9,10000,1,160
1265,4,12,10000,1,11
1265,2,12,10000,1,56
1265,1,10,10000,1,11
1265,2,15,10000,1,11
1265,0,12,10000,1,11
1266,3,14,10000,1,213
1266,1,19,10000,1,214
1266,1,18,10250,1,55
1266,1,19,10000,1,215
1266,1,18,10000,1,214
1266,1,10,10000,1,214
1266,1,18,10000,1,214
1266,1,16,10000,1,214
1266,1,18,10000,1,214
1266,0,12,9000,1,214
1267,0,13,1860,0,212
1268,7,20,3000,1,211
1268,1,18,10000,1,11
1268,1,10,10000,1,11
1268,10,17,10000,1,11
1268,0,15,10000,1,11
1269,0,17,10000,1,17
1270,11,16,3000,0,202
1270,13,21,6000,0,203
1270,0,20,561,0,204
1270,1,10,3360,0,205
1270,1,22,596,0,203
1270,0,21,180,0,206
1270,0,16,2000,0,203
1270,0,15,289,0,207
1270,0,16,799,0,203
1270,0,12,945,0,208
1270,0,19,504,1,209
1270,1,20,205,0,203
1270,1,14,712,0,127
1270,0,20,537,1,11
1270,0,14,590,0,210
1270,0,20,980,0,205
1271,0,11,2265,0,128
1272,0,19,1649,1,194
1272,5,15,263,0,195
1272,0,17,699,0,196
1272,1,17,10335,0,197
1272,17,21,10000,1,198
1272,0,16,2000,1,199
1272,0,20,2500,0,200
1272,0,15,540,1,201
1273,3,23,2401,0,191
1273,0,5,1728,0,192
1273,0,3,3250,0,192
1273,0,18,16426,0,193
1274,4,18,2000,1,188
1274,15,11,3000,1,189
1274,0,19,3000,1,190
1275,0,12,4500,0,187
1275,0,15,3000,1,32
1275,0,15,5000,1,32
1276,15,17,10000,1,39
1276,2,19,10000,1,186
1276,4,14,10000,1,186
1276,0,16,10000,1,39
1277,0,12,10130,0,175
1278,0,15,10000,1,185
1279,10,17,10000,1,31
1279,0,11,10000,1,31
1280,0,10,3050,1,136
1280,1,11,10000,0,182
1280,1,12,10000,0,183
1280,0,9,3178,1,136
1280,0,17,10000,1,184
1281,0,13,10000,1,181
1282,0,10,6000,1,180
1283,11,11,10000,1,142
1283,5,11,10000,1,179
1283,0,9,10000,1,143
1284,3,18,10000,1,106
1284,2,15,10000,1,176
1284,6,12,10000,1,177
1284,2,16,10000,1,106
1284,2,16,10000,1,178
1284,6,16,10000,1,106
1284,1,13,10000,1,106
1284,0,15,10000,1,178
1285,0,18,1270,0,175
1285,0,18,500,0,175
1286,1,20,10000,1,11
1286,0,10,10000,1,174
1287,0,20,10000,1,172
1287,0,21,1000,0,173
1287,0,13,6701,0,114
1288,2,14,1720,0,9
1288,0,18,2971,0,162
1288,1,15,1450,0,163
1288,0,14,4341,0,114
1288,0,19,4525,0,164
1288,0,17,7190,0,165
1288,2,14,1250,0,166
1288,0,18,2406,0,167
1288,0,13,6254,0,168
1288,0,13,8097,0,169
1288,0,17,2299,0,170
1288,0,17,9299,0,171
1288,0,18,1552,0,158
1289,0,10,10000,1,11
1290,0,13,10236,1,161
1291,1,10,10000,1,160
1291,1,13,10000,1,160
1291,1,9,10000,1,160
1291,4,12,10000,1,11
1291,2,12,10000,1,56
1291,1,10,10000,1,11
1291,2,15,10000,1,11
1291,0,12,10000,1,11
1292,2,13,10000,1,64
1292,0,18,10000,1,18
1293,0,10,461,0,159
1293,0,17,15569,0,59
1293,1,13,1950,0,159
1293,0,12,21600,0,159
1293,1,16,1320,0,159
1293,0,16,50000,0,159
1293,0,14,50000,0,159
1293,0,13,2500,0,159
1293,0,15,2100,0,159
1294,16,19,10000,1,38
1294,0,16,10000,1,38
1295,0,12,970,0,153
1295,0,11,999,0,154
1295,0,15,3103,0,155
1295,0,13,4201,0,156
1295,2,13,3417,0,157
1295,0,12,1561,0,36
1295,0,16,9325,0,158
1296,0,13,10000,1,32
1297,9,16,10250,1,55
1297,0,9,4250,1,55
1298,0,20,10000,1,152
1299,10,16,5000,1,151
1299,0,12,10000,1,151
1300,1,16,10000,1,149
1300,0,16,6000,1,150
1301,0,22,10000,1,148
1302,1,19,10000,1,11
1302,0,19,10000,1,147
1303,1,17,10000,1,144
1303,1,19,10000,1,145
1303,0,16,10000,1,146
1304,5,11,10000,1,142
1304,0,8,10000,1,143
1305,0,11,5000,1,140
1305,1,18,10000,1,140
1305,0,10,10000,1,141
1306,2,18,10000,1,37
1306,16,19,10000,1,37
1306,3,19,10000,1,38
1306,2,13,10200,1,4
1306,1,13,10000,1,38
1306,0,16,10000,1,38
1307,5,21,10000,1,138
1307,4,19,10000,1,138
1307,2,17,10000,1,139
1307,0,17,10000,1,138
1308,3,14,10000,1,137
1308,15,16,10236,1,33
1308,1,9,10000,1,32
1308,0,18,10000,1,32
1309,9,13,10000,1,135
1309,0,15,5000,1,136
1310,0,18,1050,0,130
1310,0,19,1090,0,131
1310,2,17,10200,0,131
1310,1,11,3159,0,132
1310,1,18,1434,0,131
1310,0,18,4400,0,133
1310,0,19,5000,1,134
1311,1,9,10000,1,1
1311,6,7,10000,1,1
1311,0,6,10000,1,1
1312,0,12,10000,1,2
1313,4,13,10200,1,4
1313,0,15,10000,1,129
1314,0,12,10000,1,18
1315,0,15,10000,1,11
1315,0,15,1449,0,110
1315,0,15,1449,0,110
1315,0,15,1449,0,110
1315,0,15,1449,0,110
1315,0,13,310,0,128
1316,0,12,1000,0,122
1316,1,15,1145,0,123
1316,2,11,1750,0,124
1316,0,11,1976,0,125
1316,2,13,8800,0,126
